# Generated by workflow/scripts/py/make_sheets.py -- safe to edit.
# Set use=false to drop a row without deleting it.
sample	mark	clone	condition	allele	replicate	genotype	snpsplit_tag	normgroup	input_type	bam	use
CTCF_E6A7_CTCF-NodTAG_Xa_rep2	CTCF	E6A7	CTCF-NodTAG	Xa	2	CAST-EiJ	G2	dTAG_CTCF_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_E6A7_CTCF-NodTAG_Xa_rep2.bam	true
CTCF_E6A7_CTCF-NodTAG_Xi_rep1	CTCF	E6A7	CTCF-NodTAG	Xi	1	C57BL-6J	G1	dTAG_CTCF_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_E6A7_CTCF-NodTAG_Xi_rep1.bam	true
CTCF_E6A7_CTCF-NodTAG_Xi_rep2	CTCF	E6A7	CTCF-NodTAG	Xi	2	C57BL-6J	G1	dTAG_CTCF_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_E6A7_CTCF-NodTAG_Xi_rep2.bam	true
CTCF_E6A7_CTCF-dTAG_Gall_rep1	CTCF	E6A7	CTCF-dTAG	Gall	1			dTAG_CTCF_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_E6A7_CTCF-dTAG_Gall_rep1.bam	true
CTCF_E6A7_CTCF-dTAG_Gall_rep2	CTCF	E6A7	CTCF-dTAG	Gall	2			dTAG_CTCF_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_E6A7_CTCF-dTAG_Gall_rep2.bam	true
CTCF_E6A7_CTCF-dTAG_Xa_rep1	CTCF	E6A7	CTCF-dTAG	Xa	1	CAST-EiJ	G2	dTAG_CTCF_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_E6A7_CTCF-dTAG_Xa_rep1.bam	true
CTCF_E6A7_CTCF-dTAG_Xa_rep2	CTCF	E6A7	CTCF-dTAG	Xa	2	CAST-EiJ	G2	dTAG_CTCF_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_E6A7_CTCF-dTAG_Xa_rep2.bam	true
CTCF_E6A7_CTCF-dTAG_Xi_rep1	CTCF	E6A7	CTCF-dTAG	Xi	1	C57BL-6J	G1	dTAG_CTCF_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_E6A7_CTCF-dTAG_Xi_rep1.bam	true
CTCF_E6A7_CTCF-dTAG_Xi_rep2	CTCF	E6A7	CTCF-dTAG	Xi	2	C57BL-6J	G1	dTAG_CTCF_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_E6A7_CTCF-dTAG_Xi_rep2.bam	true
CTCF_F3_CTCF-NodTAG_Gall_rep1	CTCF	F3	CTCF-NodTAG	Gall	1			dTAG_CTCF_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_F3_CTCF-NodTAG_Gall_rep1.bam	true
