# Generated by workflow/scripts/py/make_sheets.py -- safe to edit.
# Set use=false to drop a row without deleting it.
sample	mark	clone	condition	allele	replicate	genotype	snpsplit_tag	normgroup	input_type	bam	use
RNA-Seq_B1_WT_Xi_rep2	RNA-Seq	B1	WT	Xi	2	CAST-EiJ	G2	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_B1_WT_Xi_rep2.bam	true
RNA-Seq_C5_WT_Gall_rep1	RNA-Seq	C5	WT	Gall	1			WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_C5_WT_Gall_rep1.bam	true
RNA-Seq_C5_WT_Gall_rep2	RNA-Seq	C5	WT	Gall	2			WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_C5_WT_Gall_rep2.bam	true
RNA-Seq_C5_WT_Xa_rep1	RNA-Seq	C5	WT	Xa	1	C57BL-6J	G1	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_C5_WT_Xa_rep1.bam	true
RNA-Seq_C5_WT_Xa_rep2	RNA-Seq	C5	WT	Xa	2	C57BL-6J	G1	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_C5_WT_Xa_rep2.bam	true
RNA-Seq_C5_WT_Xi_rep1	RNA-Seq	C5	WT	Xi	1	CAST-EiJ	G2	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_C5_WT_Xi_rep1.bam	true
RNA-Seq_C5_WT_Xi_rep2	RNA-Seq	C5	WT	Xi	2	CAST-EiJ	G2	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_C5_WT_Xi_rep2.bam	true
RNA-Seq_CL30_WT_Gall_rep1	RNA-Seq	CL30	WT	Gall	1			WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_CL30_WT_Gall_rep1.bam	true
RNA-Seq_CL30_WT_Gall_rep2	RNA-Seq	CL30	WT	Gall	2			WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_CL30_WT_Gall_rep2.bam	true
RNA-Seq_CL30_WT_Xa_rep1	RNA-Seq	CL30	WT	Xa	1	CAST-EiJ	G2	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_CL30_WT_Xa_rep1.bam	true
RNA-Seq_CL30_WT_Xa_rep2	RNA-Seq	CL30	WT	Xa	2	CAST-EiJ	G2	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_CL30_WT_Xa_rep2.bam	true
RNA-Seq_CL30_WT_Xi_rep1	RNA-Seq	CL30	WT	Xi	1	C57BL-6J	G1	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_CL30_WT_Xi_rep1.bam	true
RNA-Seq_CL30_WT_Xi_rep2	RNA-Seq	CL30	WT	Xi	2	C57BL-6J	G1	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_CL30_WT_Xi_rep2.bam	true
RNA-Seq_E6_WT_Gall_rep1	RNA-Seq	E6	WT	Gall	1			WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_E6_WT_Gall_rep1.bam	true
RNA-Seq_E6_WT_Gall_rep2	RNA-Seq	E6	WT	Gall	2			WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_E6_WT_Gall_rep2.bam	true
RNA-Seq_E6_WT_Xa_rep1	RNA-Seq	E6	WT	Xa	1	CAST-EiJ	G2	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_E6_WT_Xa_rep1.bam	true
RNA-Seq_E6_WT_Xa_rep2	RNA-Seq	E6	WT	Xa	2	CAST-EiJ	G2	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_E6_WT_Xa_rep2.bam	true
RNA-Seq_E6_WT_Xi_rep1	RNA-Seq	E6	WT	Xi	1	C57BL-6J	G1	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_E6_WT_Xi_rep1.bam	true
RNA-Seq_E6_WT_Xi_rep2	RNA-Seq	E6	WT	Xi	2	C57BL-6J	G1	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_E6_WT_Xi_rep2.bam	true
RNA-Seq_JTG_WT_Gall_rep1	RNA-Seq	JTG	WT	Gall	1			WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_JTG_WT_Gall_rep1.bam	true
RNA-Seq_JTG_WT_Gall_rep2	RNA-Seq	JTG	WT	Gall	2			WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_JTG_WT_Gall_rep2.bam	true
RNA-Seq_JTG_WT_Xa_rep1	RNA-Seq	JTG	WT	Xa	1	CAST-EiJ	G2	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_JTG_WT_Xa_rep1.bam	true
RNA-Seq_JTG_WT_Xa_rep2	RNA-Seq	JTG	WT	Xa	2	CAST-EiJ	G2	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_JTG_WT_Xa_rep2.bam	true
RNA-Seq_JTG_WT_Xi_rep1	RNA-Seq	JTG	WT	Xi	1	C57BL-6J	G1	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_JTG_WT_Xi_rep1.bam	true
RNA-Seq_JTG_WT_Xi_rep2	RNA-Seq	JTG	WT	Xi	2	C57BL-6J	G1	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_JTG_WT_Xi_rep2.bam	true
RNA-Seq_B1621_Rad21-NodTAG_Gall_rep1	RNA-Seq	B1621	Rad21-NodTAG	Gall	1			dTAG_RNA-Seq_B1621	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_B1621_Rad21-NodTAG_Gall_rep1.bam	true
RNA-Seq_B1621_Rad21-NodTAG_Gall_rep2	RNA-Seq	B1621	Rad21-NodTAG	Gall	2			dTAG_RNA-Seq_B1621	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_B1621_Rad21-NodTAG_Gall_rep2.bam	true
RNA-Seq_B1621_Rad21-NodTAG_Xa_rep1	RNA-Seq	B1621	Rad21-NodTAG	Xa	1	C57BL-6J	G1	dTAG_RNA-Seq_B1621	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_B1621_Rad21-NodTAG_Xa_rep1.bam	true
RNA-Seq_B1621_Rad21-NodTAG_Xa_rep2	RNA-Seq	B1621	Rad21-NodTAG	Xa	2	C57BL-6J	G1	dTAG_RNA-Seq_B1621	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_B1621_Rad21-NodTAG_Xa_rep2.bam	true
RNA-Seq_B1621_Rad21-NodTAG_Xi_rep1	RNA-Seq	B1621	Rad21-NodTAG	Xi	1	CAST-EiJ	G2	dTAG_RNA-Seq_B1621	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_B1621_Rad21-NodTAG_Xi_rep1.bam	true
RNA-Seq_B1621_Rad21-NodTAG_Xi_rep2	RNA-Seq	B1621	Rad21-NodTAG	Xi	2	CAST-EiJ	G2	dTAG_RNA-Seq_B1621	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_B1621_Rad21-NodTAG_Xi_rep2.bam	true
RNA-Seq_B1621_Rad21-dTAG_Gall_rep1	RNA-Seq	B1621	Rad21-dTAG	Gall	1			dTAG_RNA-Seq_B1621	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_B1621_Rad21-dTAG_Gall_rep1.bam	true
RNA-Seq_B1621_Rad21-dTAG_Gall_rep2	RNA-Seq	B1621	Rad21-dTAG	Gall	2			dTAG_RNA-Seq_B1621	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_B1621_Rad21-dTAG_Gall_rep2.bam	true
RNA-Seq_B1621_Rad21-dTAG_Xa_rep1	RNA-Seq	B1621	Rad21-dTAG	Xa	1	C57BL-6J	G1	dTAG_RNA-Seq_B1621	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_B1621_Rad21-dTAG_Xa_rep1.bam	true
RNA-Seq_B1621_Rad21-dTAG_Xa_rep2	RNA-Seq	B1621	Rad21-dTAG	Xa	2	C57BL-6J	G1	dTAG_RNA-Seq_B1621	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_B1621_Rad21-dTAG_Xa_rep2.bam	true
RNA-Seq_B1621_Rad21-dTAG_Xi_rep1	RNA-Seq	B1621	Rad21-dTAG	Xi	1	CAST-EiJ	G2	dTAG_RNA-Seq_B1621	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_B1621_Rad21-dTAG_Xi_rep1.bam	true
RNA-Seq_B1621_Rad21-dTAG_Xi_rep2	RNA-Seq	B1621	Rad21-dTAG	Xi	2	CAST-EiJ	G2	dTAG_RNA-Seq_B1621	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_B1621_Rad21-dTAG_Xi_rep2.bam	true
RNA-Seq_C5C10_CTCF-NodTAG_Gall_rep1	RNA-Seq	C5C10	CTCF-NodTAG	Gall	1			dTAG_RNA-Seq_C5C10	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_C5C10_CTCF-NodTAG_Gall_rep1.bam	true
RNA-Seq_C5C10_CTCF-NodTAG_Gall_rep2	RNA-Seq	C5C10	CTCF-NodTAG	Gall	2			dTAG_RNA-Seq_C5C10	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_C5C10_CTCF-NodTAG_Gall_rep2.bam	true
RNA-Seq_C5C10_CTCF-NodTAG_Xa_rep1	RNA-Seq	C5C10	CTCF-NodTAG	Xa	1	C57BL-6J	G1	dTAG_RNA-Seq_C5C10	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_C5C10_CTCF-NodTAG_Xa_rep1.bam	true
RNA-Seq_C5C10_CTCF-NodTAG_Xa_rep2	RNA-Seq	C5C10	CTCF-NodTAG	Xa	2	C57BL-6J	G1	dTAG_RNA-Seq_C5C10	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_C5C10_CTCF-NodTAG_Xa_rep2.bam	true
RNA-Seq_C5C10_CTCF-NodTAG_Xi_rep1	RNA-Seq	C5C10	CTCF-NodTAG	Xi	1	CAST-EiJ	G2	dTAG_RNA-Seq_C5C10	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_C5C10_CTCF-NodTAG_Xi_rep1.bam	true
RNA-Seq_C5C10_CTCF-NodTAG_Xi_rep2	RNA-Seq	C5C10	CTCF-NodTAG	Xi	2	CAST-EiJ	G2	dTAG_RNA-Seq_C5C10	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_C5C10_CTCF-NodTAG_Xi_rep2.bam	true
RNA-Seq_C5C10_CTCF-dTAG_Gall_rep1	RNA-Seq	C5C10	CTCF-dTAG	Gall	1			dTAG_RNA-Seq_C5C10	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_C5C10_CTCF-dTAG_Gall_rep1.bam	true
RNA-Seq_C5C10_CTCF-dTAG_Gall_rep2	RNA-Seq	C5C10	CTCF-dTAG	Gall	2			dTAG_RNA-Seq_C5C10	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_C5C10_CTCF-dTAG_Gall_rep2.bam	true
RNA-Seq_C5C10_CTCF-dTAG_Xa_rep1	RNA-Seq	C5C10	CTCF-dTAG	Xa	1	C57BL-6J	G1	dTAG_RNA-Seq_C5C10	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_C5C10_CTCF-dTAG_Xa_rep1.bam	true
RNA-Seq_C5C10_CTCF-dTAG_Xa_rep2	RNA-Seq	C5C10	CTCF-dTAG	Xa	2	C57BL-6J	G1	dTAG_RNA-Seq_C5C10	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_C5C10_CTCF-dTAG_Xa_rep2.bam	true
RNA-Seq_C5C10_CTCF-dTAG_Xi_rep1	RNA-Seq	C5C10	CTCF-dTAG	Xi	1	CAST-EiJ	G2	dTAG_RNA-Seq_C5C10	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_C5C10_CTCF-dTAG_Xi_rep1.bam	true
RNA-Seq_C5C10_CTCF-dTAG_Xi_rep2	RNA-Seq	C5C10	CTCF-dTAG	Xi	2	CAST-EiJ	G2	dTAG_RNA-Seq_C5C10	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_C5C10_CTCF-dTAG_Xi_rep2.bam	true
RNA-Seq_E6A7_CTCF-NodTAG_Gall_rep1	RNA-Seq	E6A7	CTCF-NodTAG	Gall	1			dTAG_RNA-Seq_E6A7	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_E6A7_CTCF-NodTAG_Gall_rep1.bam	true
RNA-Seq_E6A7_CTCF-NodTAG_Gall_rep2	RNA-Seq	E6A7	CTCF-NodTAG	Gall	2			dTAG_RNA-Seq_E6A7	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_E6A7_CTCF-NodTAG_Gall_rep2.bam	true
RNA-Seq_E6A7_CTCF-NodTAG_Xa_rep1	RNA-Seq	E6A7	CTCF-NodTAG	Xa	1	CAST-EiJ	G2	dTAG_RNA-Seq_E6A7	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_E6A7_CTCF-NodTAG_Xa_rep1.bam	true
RNA-Seq_E6A7_CTCF-NodTAG_Xa_rep2	RNA-Seq	E6A7	CTCF-NodTAG	Xa	2	CAST-EiJ	G2	dTAG_RNA-Seq_E6A7	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_E6A7_CTCF-NodTAG_Xa_rep2.bam	true
RNA-Seq_E6A7_CTCF-NodTAG_Xi_rep1	RNA-Seq	E6A7	CTCF-NodTAG	Xi	1	C57BL-6J	G1	dTAG_RNA-Seq_E6A7	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_E6A7_CTCF-NodTAG_Xi_rep1.bam	true
RNA-Seq_E6A7_CTCF-NodTAG_Xi_rep2	RNA-Seq	E6A7	CTCF-NodTAG	Xi	2	C57BL-6J	G1	dTAG_RNA-Seq_E6A7	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_E6A7_CTCF-NodTAG_Xi_rep2.bam	true
RNA-Seq_E6A7_CTCF-dTAG_Gall_rep1	RNA-Seq	E6A7	CTCF-dTAG	Gall	1			dTAG_RNA-Seq_E6A7	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_E6A7_CTCF-dTAG_Gall_rep1.bam	true
RNA-Seq_E6A7_CTCF-dTAG_Gall_rep2	RNA-Seq	E6A7	CTCF-dTAG	Gall	2			dTAG_RNA-Seq_E6A7	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_E6A7_CTCF-dTAG_Gall_rep2.bam	true
RNA-Seq_E6A7_CTCF-dTAG_Xa_rep1	RNA-Seq	E6A7	CTCF-dTAG	Xa	1	CAST-EiJ	G2	dTAG_RNA-Seq_E6A7	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_E6A7_CTCF-dTAG_Xa_rep1.bam	true
RNA-Seq_E6A7_CTCF-dTAG_Xa_rep2	RNA-Seq	E6A7	CTCF-dTAG	Xa	2	CAST-EiJ	G2	dTAG_RNA-Seq_E6A7	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_E6A7_CTCF-dTAG_Xa_rep2.bam	true
RNA-Seq_E6A7_CTCF-dTAG_Xi_rep1	RNA-Seq	E6A7	CTCF-dTAG	Xi	1	C57BL-6J	G1	dTAG_RNA-Seq_E6A7	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_E6A7_CTCF-dTAG_Xi_rep1.bam	true
RNA-Seq_E6A7_CTCF-dTAG_Xi_rep2	RNA-Seq	E6A7	CTCF-dTAG	Xi	2	C57BL-6J	G1	dTAG_RNA-Seq_E6A7	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_E6A7_CTCF-dTAG_Xi_rep2.bam	true
RNA-Seq_F3_CTCF-NodTAG_Gall_rep1	RNA-Seq	F3	CTCF-NodTAG	Gall	1			dTAG_RNA-Seq_F3	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_F3_CTCF-NodTAG_Gall_rep1.bam	true
RNA-Seq_F3_CTCF-NodTAG_Gall_rep2	RNA-Seq	F3	CTCF-NodTAG	Gall	2			dTAG_RNA-Seq_F3	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_F3_CTCF-NodTAG_Gall_rep2.bam	true
RNA-Seq_F3_CTCF-NodTAG_Xa_rep1	RNA-Seq	F3	CTCF-NodTAG	Xa	1	CAST-EiJ	G2	dTAG_RNA-Seq_F3	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_F3_CTCF-NodTAG_Xa_rep1.bam	true
RNA-Seq_F3_CTCF-NodTAG_Xa_rep2	RNA-Seq	F3	CTCF-NodTAG	Xa	2	CAST-EiJ	G2	dTAG_RNA-Seq_F3	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_F3_CTCF-NodTAG_Xa_rep2.bam	true
RNA-Seq_F3_CTCF-NodTAG_Xi_rep1	RNA-Seq	F3	CTCF-NodTAG	Xi	1	C57BL-6J	G1	dTAG_RNA-Seq_F3	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_F3_CTCF-NodTAG_Xi_rep1.bam	true
RNA-Seq_F3_CTCF-NodTAG_Xi_rep2	RNA-Seq	F3	CTCF-NodTAG	Xi	2	C57BL-6J	G1	dTAG_RNA-Seq_F3	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_F3_CTCF-NodTAG_Xi_rep2.bam	true
RNA-Seq_F3_CTCF-dTAG_Gall_rep1	RNA-Seq	F3	CTCF-dTAG	Gall	1			dTAG_RNA-Seq_F3	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_F3_CTCF-dTAG_Gall_rep1.bam	true
RNA-Seq_F3_CTCF-dTAG_Gall_rep2	RNA-Seq	F3	CTCF-dTAG	Gall	2			dTAG_RNA-Seq_F3	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_F3_CTCF-dTAG_Gall_rep2.bam	true
RNA-Seq_F3_CTCF-dTAG_Xa_rep1	RNA-Seq	F3	CTCF-dTAG	Xa	1	CAST-EiJ	G2	dTAG_RNA-Seq_F3	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_F3_CTCF-dTAG_Xa_rep1.bam	true
RNA-Seq_F3_CTCF-dTAG_Xa_rep2	RNA-Seq	F3	CTCF-dTAG	Xa	2	CAST-EiJ	G2	dTAG_RNA-Seq_F3	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_F3_CTCF-dTAG_Xa_rep2.bam	true
RNA-Seq_F3_CTCF-dTAG_Xi_rep1	RNA-Seq	F3	CTCF-dTAG	Xi	1	C57BL-6J	G1	dTAG_RNA-Seq_F3	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_F3_CTCF-dTAG_Xi_rep1.bam	true
RNA-Seq_F3_CTCF-dTAG_Xi_rep2	RNA-Seq	F3	CTCF-dTAG	Xi	2	C57BL-6J	G1	dTAG_RNA-Seq_F3	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/degron/RNA-Seq_F3_CTCF-dTAG_Xi_rep2.bam	true
